,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
1761,Bayer,A Re-treatment Safety Study of Radium-223 Dichloride in Subjects With Castration-resistant Prostate Cancer With Bone Metastases Who Received an Initial Course of Six Doses of Radium-223 Dichloride 50 kBq/kg Every Four Weeks,"Eligible subjects must have completed 6 doses of treatment of radium-223 dichloride and experienced no radium-223 dichloride-related SAEs (serious adverse events) or CTCAE (Common Terminology Criteria for Adverse Events) Grade 3 or 4 adverse event during or after the initial course of radium-223 dichloride that led to the discontinuation of treatment. 40 Subjects will be enrolled and will receive up to 6 doses of radium-223 dichloride 50 kBq/kg IV every 4 weeks. The subject will be evaluated for AEs (adverse events) and laboratory tests at each visit every 4 weeks, prior to receiving radium-223 dichloride. After the end of treatment visit the subjects will enter the active follow up period. Related AEs and SAEs and Lab tests will be evaluated at each visit every 4 weeks for the first 12 weeks, then every 12 weeks for up to 2 years after the last dose of radium-223 dichloride. After the 2 years of active follow-up, subjects will enter the long-term follow-up period and will be followed via telephone follow-up at 6-month intervals for late toxicities and survival up to 7 years after the last dose of radium-223 dichloride or until death. Joint safety reviews will regularly take place to oversee safety of the subjects conducted at regular intervals. An interim analysis of the safety data will be conducted during the study.",2013,12,Phase 1/Phase 2,45,Completed,Prostatic Neoplasms,December,2011-2015,<50
1762,Novartis,"A Phase II, Double-blind, Randomized, Multi-center, Adaptive Dose-ranging, Placebo-controlled, Parallel-group Study Evaluating Safety, Tolerability and Efficacy on MRI Lesion Parameters and Determining the Dose Response Curve of BAF312 Given Orally Once Daily in Patients With Relapsing-remitting Multiple Sclerosis.","The purpose of this study is to determine the dose-response curve for the MRI-based efficacy of BAF312 compared with placebo in patients with Relapsing-Remitting Multiple Sclerosis (RRMS), and to characterize its safety and tolerability for the selection of an optimal dose in a later phase III study. Study Design Rationale An adaptive design was chosen to characterize the dose response curve of BAF312. In a first period of study (""Period 1""), three doses of BAF312 and placebo are tested for MRI efficacy. Based on an interim analysis (IA) after 3 months of treatment, two additional active doses for period 2 have been selected , thus allowing to optimize the overall determination of the dose response curve with 5 data points of active treatment, and placebo. The doses are kept blinded. The use of Modeling and Simulation allows to establish the full range and dynamics of the dose-response curve in silico, and hence the definition of the optimal dose for later phase III studies. The choice of placebo as treatment control is essential to obtain information on the specific compared to non-specific effects of active treatment and provides the best way of evaluating the efficacy and of assessing the true safety and tolerability profile of BAF312. Short-term placebo exposure (6 (Period 1) or 3 (Period 2) months, respectively) is unlikely to lead to longer term differences in outcomes [Polman, 2008]. The use of an adaptive design strategy contributes to a significant reduction of placebo exposure, both in terms of the number of patients and duration, as compared to conventional trial models. Patients having completed the study within the protocol may be eligible for the Extension Phase study where they receive long-term BAF312 treatment (a separate protocol).",2009,3,Phase 2,296,Completed,"Multiple Sclerosis, Relapsing-Remitting",March,2006-2010,100-499
1763,JNJ,"A 52-Week, Open-Label, Prospective, Multicenter, International Study of a Transition to the Paliperidone Palmitate 3-Month Formulation In Patients With Schizophrenia Previously Stabilized on the Paliperidone Palmitate 1-Month Formulation",The purpose of this study is to estimate the proportion of participants fulfilling criteria for symptomatic remission following a transition to 12 months treatment with flexible-dose paliperidone palmitate 3 month formulation (PP3M) in participants with schizophrenia previously adequately treated with paliperidone palmitate 1 month formulation (PP1M) for at least 4 months.,2016,5,Phase 3,306,Completed,Schizophrenia,May,2016-2020,100-499
1764,Bayer,"A Randomized, Active-controlled, Double-blinded, Double-dummy, Parallel-group, Multicenter Study to Investigate the Efficacy and Safety of Oral Molidustat in Comparison to Darbepoetin Alfa in Dialysis Subjects Treated With Erythropoiesis-Stimulating Agents (ESAs)",The purpose of this study is to evaluate the efficacy and safety of molidustat in comparison to darbepoetin alfa in dialysis subjects with renal anemia who are treated with Erythropoiesis-Stimulating Agents (ESAs).,2018,6,Phase 3,220,"Active, not recruiting","Renal Insufficiency, Chronic",June,2016-2020,100-499
1765,GSK,"A Randomized, Open-label, Parallel-group, Multicenter Study to Determine the Efficacy and Long-term Safety of Albiglutide Compared With Insulin in Subjects With Type 2 Diabetes Mellitus.",A study to determine the safety and efficacy of albiglutide in subjects with type 2 diabetes.,2009,2,Phase 3,779,Completed,"Diabetes Mellitus, Type 2",February,2006-2010,500-999
1766,GSK,Assess Long Term Persistence of a Primary Dose of GSK Biologicals' Meningococcal Vaccine 134612 Versus One Dose of Mencevax™ ACWY in Healthy Adolescents/Young Adults (15 to 19 Years at Vaccination),"This study will investigate the long-term protection offered by GSK Biologicals' meningococcal vaccine 134612 up to 3.5 years after vaccination. Subjects were vaccinated at 15 to 19 years of age. This extension phase starts 18 months after vaccination and part of the subjects who were vaccinated in the primary study will be enrolled in this extension phase. No new subjects will be enrolled. This protocol posting deals with objectives & outcome measures of the extension phase 18, 30 and 42 months after vaccination. The objectives & outcome measures of the primary phase are presented in a separate protocol posting (NCT00126945). The Protocol Posting has been updated in order to comply with the FDA Amendment Act, September 2007.",2007,2,Phase 2,46,Completed,Meningococcal Infections,February,2006-2010,<50
1767,Merck,A Phase II Study of MK0457 in Patients With T315I Mutant Chronic Myelogenous Leukemia and Philadelphia Chromosome-positive Acute Lymphoblastic Leukemia,This study will evaluate MK0457 in patients with chronic myelogenous leukemia and Philadelphia chromosome-positive acute lymphoblastic leukemia. Efficacy and safety will be evaluated.,2006,12,Phase 2,52,Terminated,Leukemia,December,2006-2010,50-99
1768,GSK,"A Randomised, Parallel Group, Placebo-controlled, Double Blind Study to Assess the Safety and Tolerability of SB-681323 at 7.5mg Daily Dose for 28 Days and Its Effect on the Levels of Serum C-reactive Protein (CRP) in Subjects With Rheumatoid Arthritis (RA)",The purpose of this research is to find out how effective and safe SB-681323 will be in the treatment of RA when it is added to standard anti-rheumatic treatments.,2005,11,Phase 2,78,Completed,"Arthritis, Rheumatoid",November,2001-2005,50-99
1769,GSK,"A Phase IV, Open-label, Single-center Study to Evaluate Long Term Immunogenicity up to 10 Years After the First Booster Immunization With Tick Borne Encephalitis Vaccine in Adults Who Received 1 of 3 Different Primary Vaccination Schedules","The aim of this study is to investigate the immunogenicity response in adults up to 10 years after one booster dose. Data collected from this study will allow for greater information to prescribers who administer TBE vaccine, so that they can appropriately time the administration of booster vaccinations to individuals who received different vaccination schedules and who live in tick borne encephalitis endemic regions.",2012,3,Phase 4,206,Completed,"Encephalitis, Tick-Borne",March,2011-2015,100-499
1770,Roche,"An Open-label, Multi-center Study to Document the Efficacy, Safety, and Tolerability of Long-term Administration of RO0503821 in Patients With Chronic Renal Anemia","This study assessed the long-term efficacy, safety, and tolerability of intravenous (iv) or subcutaneous (sc) methoxy polyethylene glycol-epoetin beta in chronic kidney disease patients with renal anemia. Eligible patients were those who were receiving stable maintenance therapy with methoxy polyethylene glycol-epoetin beta or erythropoiesis stimulating agents (ESAs) in Phase II or III clinical studies. They continued to receive methoxy polyethylene glycol-epoetin beta or comparator ESAs at the same weekly dose and by the same route of administration (sc or iv) as in the qualifying studies.",2004,10,Phase 3,1228,Completed,Anemia,October,2001-2005,1K-5K
1771,GSK,"An Open-Label Study to Investigate the Excretion and Metabolic Disposition of a Single, Oral Dose of [14C]-SB-751689 (a Calcium-Sensing Receptor Antagonist) in Healthy Male Subjects and Healthy Postmenopausal Female Subjects","This study will examine the biological fate of radioactive SB-751689 administered to healthy males and healthy postmenopausal women. Subjects will receive a single oral dose of radioactive SB-751689. Excreta and blood samples will be taken over the course of 7 days. This study will help determine the major route of elimination of SB-751689 in humans. It will also provide samples (blood, plasma, urine, and stools) for analysis of metabolites, if any.",2007,4,Phase 1,6,Completed,Osteoporosis,April,2006-2010,<50
1772,Novartis,"A Single-dose, Open-label, Parallel Study to Assess the Pharmacokinetics of AFQ056 in Subjects With Mild, Moderate and Severe Hepatic Impairment Compared to Healthy Control Subjects","This study will assess the pharmacokinetics of AFQ056 in subjects with mild, moderate, severe hepatic impairment compared with healthy control subjects.",2011,5,Phase 1,118,Completed,Liver Diseases,May,2011-2015,100-499
1773,Sanofi,"A 24-Week, Multicenter, Double-Blind, Randomized, Parallel-Group, Dose Ranging Study of the Efficacy and Safety of 3 Oral Doses of AVE1625 and Placebo on Top of Either Olanzapine, Risperidone/Paliperidone, Quetiapine or Aripiprazole in the Treatment of Cognitive Impairment in Schizophrenia.",AVE1625 is a new potent and selective cannabinoid 1 (CB1) antagonist in clinical development for the treatment of cognitive impairment in patients diagnosed with schizophrenia. The main objective of this study is to evaluate the efficacy on cognitive impairment of 3 doses of AVE1625 using a new cognitive battery called Measurement and Treatment Research to Improve Cognition in Schizophrenia (MATRICS) in schizophrenic patients. The secondary objectives are to measure the efficacy of AVE1625 on functional capacity of the patients using a specific scale called University of California San Diego Performance-based Skills Assessment 2 (UPSA2) and to assess the safety of the compound.,2007,2,Phase 2,873,Terminated,Schizophrenia,February,2006-2010,500-999
